start_node;end_node;type
Bennard Stark;Benjen Stark, son of Bennard;legitimate
Bennard Stark;Brandon Stark, son of Bennard;legitimate
Bennard Stark;Elric Stark, son of Bennard;legitimate
Margaret Karstark/Stark;Benjen Stark, son of Bennard;legitimate
Margaret Karstark/Stark;Brandon Stark, son of Bennard;legitimate
Margaret Karstark/Stark;Elric Stark, son of Bennard;legitimate
Lord Cregan Stark;Rickon Stark, son of Cregan;legitimate
Lady Arra Norrey/Stark;Rickon Stark, son of Cregan;legitimate
Lord Cregan Stark;Sarra Stark;legitimate
Lord Cregan Stark;Alys Stark;legitimate
Lord Cregan Stark;Raya Stark;legitimate
Lord Cregan Stark;Mariah Stark;legitimate
Lady Alysanne Blackwood/Stark;Sarra Stark;legitimate
Lady Alysanne Blackwood/Stark;Alys Stark;legitimate
Lady Alysanne Blackwood/Stark;Raya Stark;legitimate
Lady Alysanne Blackwood/Stark;Mariah Stark;legitimate
Lord Cregan Stark;Lord Jonnel Stark;legitimate
Lord Cregan Stark;Edric Stark, son of Cregan;legitimate
Lord Cregan Stark;Lyanna Stark, daughter of Cregan;legitimate
Lord Cregan Stark;Lord Barthogan Stark;legitimate
Lord Cregan Stark;Lord Brandon Stark, son of Cregan Stark;legitimate
Lady Lynara Stark;Lord Jonnel Stark;legitimate
Lady Lynara Stark;Edric Stark, son of Cregan;legitimate
Lady Lynara Stark;Lyanna Stark, daughter of Cregan;legitimate
Lady Lynara Stark;Lord Barthogan Stark;legitimate
Lady Lynara Stark;Lord Brandon Stark, son of Cregan Stark;legitimate
Rickon Stark, son of Cregan;Lady Sansa Stark, daughter of Rickon;legitimate
Rickon Stark, son of Cregan;Serena Stark/Umber;legitimate
Jeyne Manderly/Stark;Lady Sansa Stark, daughter of Rickon;legitimate
Jeyne Manderly/Stark;Serena Stark/Umber;legitimate
Edric Stark, son of Cregan;Cregard Stark;legitimate
Edric Stark, son of Cregan;Torrhen Stark, son of Edric;legitimate
Edric Stark, son of Cregan;Arrana Stark/Umber;legitimate
Edric Stark, son of Cregan;Aregelle Stark/Cerwyn;legitimate
Serena Stark/Umber;Cregard Stark;legitimate
Serena Stark/Umber;Torrhen Stark, son of Edric;legitimate
Serena Stark/Umber;Arrana Stark/Umber;legitimate
Serena Stark/Umber;Aregelle Stark/Cerwyn;legitimate
Lord Brandon Stark, son of Cregan Stark;Lonnel Snow;bastard
Wylla Fenn;Lonnel Snow;bastard
Lord Brandon Stark, son of Cregan Stark;Lord Rodwell Stark;legitimate
Lord Brandon Stark, son of Cregan Stark;Lord Beron Stark;legitimate
Lord Brandon Stark, son of Cregan Stark;Arsa Stark;legitimate
Lady Alys Karstark/Stark, wife of Brandon Stark;Lord Rodwell Stark;legitimate
Lady Alys Karstark/Stark, wife of Brandon Stark;Lord Beron Stark;legitimate
Lady Alys Karstark/Stark, wife of Brandon Stark;Arsa Stark;legitimate
Lord Beron Stark;Lord Donnor Stark;legitimate
Lord Beron Stark;Lord Willam Stark;legitimate
Lord Beron Stark;Artos Stark, The Implacable;legitimate
Lord Beron Stark;Berena Stark;legitimate
Lord Beron Stark;Alysanne Stark;legitimate
Lord Beron Stark;Errold Stark;legitimate
Lord Beron Stark;Rodrik Stark, the Wandering Wolf;legitimate
Lady Lorra Royce/Stark;Lord Donnor Stark;legitimate
Lady Lorra Royce/Stark;Lord Willam Stark;legitimate
Lady Lorra Royce/Stark;Artos Stark, The Implacable;legitimate
Lady Lorra Royce/Stark;Berena Stark;legitimate
Lady Lorra Royce/Stark;Alysanne Stark;legitimate
Lady Lorra Royce/Stark;Errold Stark;legitimate
Lady Lorra Royce/Stark;Rodrik Stark, the Wandering Wolf;legitimate
Lord Willam Stark;Brandon Stark, son of Willam Stark and Lyanne Glover;legitimate
Lady Lyanne Glover/Stark;Brandon Stark, son of Willam Stark and Lyanne Glover;legitimate
Lord Willam Stark;Lord Edwyle Stark;legitimate
Lord Willam Stark;Jocelyn Stark/Royce;legitimate
Lady Melantha Blackwood/Stark;Lord Edwyle Stark;legitimate
Lady Melantha Blackwood/Stark;Jocelyn Stark/Royce;legitimate
Artos Stark, The Implacable;Brandon Stark, son of Artos;legitimate
Artos Stark, The Implacable;Benjen Stark, son of Artos;legitimate
Lysara Karstark/Stark;Brandon Stark, son of Artos;legitimate
Lysara Karstark/Stark;Benjen Stark, son of Artos;legitimate
Rodrik Stark, the Wandering Wolf;Branda Stark/Rogers;legitimate
Rodrik Stark, the Wandering Wolf;Lady Lyarra Stark;legitimate
Arya Flint/Stark;Branda Stark/Rogers;legitimate
Arya Flint/Stark;Lady Lyarra Stark;legitimate
Lord Edwyle Stark;Lord Rickard Stark;legitimate
Lady Marna Locke/Stark;Lord Rickard Stark;legitimate
Lord Rickard Stark;Brandon Stark, Brother of Eddard;legitimate
Lord Rickard Stark;Lord Eddard Stark;legitimate
Lord Rickard Stark;Lyanna Stark;legitimate
Lord Rickard Stark;Benjen Stark, brother of Eddard;legitimate
Lady Lyarra Stark;Brandon Stark, Brother of Eddard;legitimate
Lady Lyarra Stark;Lord Eddard Stark;legitimate
Lady Lyarra Stark;Lyanna Stark;legitimate
Lady Lyarra Stark;Benjen Stark, brother of Eddard;legitimate
Lord Eddard Stark;King Robb Stark;legitimate
Lord Eddard Stark;Princess Sansa Stark;legitimate
Lord Eddard Stark;Princess Arya Stark;legitimate
Lord Eddard Stark;Prince Brandon Stark, Bran;legitimate
Lord Eddard Stark;Prince Rickon Stark;legitimate
Lady Catelyn Tully/Stark;King Robb Stark;legitimate
Lady Catelyn Tully/Stark;Princess Sansa Stark;legitimate
Lady Catelyn Tully/Stark;Princess Arya Stark;legitimate
Lady Catelyn Tully/Stark;Prince Brandon Stark, Bran;legitimate
Lady Catelyn Tully/Stark;Prince Rickon Stark;legitimate
Lord Eddard Stark;Lord Commander Jon Snow;bastard
Lord Damon Lannister, The Grey Lion;Lord Tybolt Lannister;legitimate
Lord Damon Lannister, The Grey Lion;Lord Gerold Lannister;legitimate
Lady Cerissa Brax/Lannister;Lord Tybolt Lannister;legitimate
Lady Cerissa Brax/Lannister;Lord Gerold Lannister;legitimate
Lord Tybolt Lannister;Lady Cerelle Lannister;legitimate
Lady Teora Kyndall/Lannister;Lady Cerelle Lannister;legitimate
Lord Gerold Lannister;Ser Tywald Lannister;legitimate
Lord Gerold Lannister;Ser Tion Lannister;legitimate
Lord Gerold Lannister;Lord Tytos Lannister;legitimate
Lord Gerold Lannister;Ser Jason Lannister, brother of Tytos;legitimate
Lady Rohanne Webber/Staunton, Uffering, Osgrey, Lannister;Ser Tywald Lannister;legitimate
Lady Rohanne Webber/Staunton, Uffering, Osgrey, Lannister;Ser Tion Lannister;legitimate
Lady Rohanne Webber/Staunton, Uffering, Osgrey, Lannister;Lord Tytos Lannister;legitimate
Lady Rohanne Webber/Staunton, Uffering, Osgrey, Lannister;Ser Jason Lannister, brother of Tytos;legitimate
Ser Jason Lannister, brother of Tytos;Lady Joanna Lannister;legitimate
Ser Jason Lannister, brother of Tytos;Ser Stafford Lannister;legitimate
Marla Prester/Lannister;Lady Joanna Lannister;legitimate
Marla Prester/Lannister;Ser Stafford Lannister;legitimate
Ser Jason Lannister, brother of Tytos;Damon Lannister, son of Jason;legitimate
Alys Stackspear/Lannister;Damon Lannister, son of Jason;legitimate
Damon Lannister, son of Jason;Ser Damion Lannister;legitimate
Ella Lannister;Ser Damion Lannister;legitimate
Ser Damion Lannister;Ser Lucion Lannister;legitimate
Ser Damion Lannister;Lady Lanna Lannister/Jast;legitimate
Shiera Crakehall/Lannister;Ser Lucion Lannister;legitimate
Shiera Crakehall/Lannister;Lady Lanna Lannister/Jast;legitimate
Lord Tytos Lannister;Lord Tywin Lannister;legitimate
Lord Tytos Lannister;Ser Kevan Lannister;legitimate
Lord Tytos Lannister;Lady Genna Lannister/Frey ;legitimate
Lord Tytos Lannister;Ser Tygett Lannister, Tyg;legitimate
Lord Tytos Lannister;Gerion Lannister, Gery;legitimate
Lady Jeyne Marbrand/Lannister;Lord Tywin Lannister;legitimate
Lady Jeyne Marbrand/Lannister;Ser Kevan Lannister;legitimate
Lady Jeyne Marbrand/Lannister;Lady Genna Lannister/Frey ;legitimate
Lady Jeyne Marbrand/Lannister;Ser Tygett Lannister, Tyg;legitimate
Lady Jeyne Marbrand/Lannister;Gerion Lannister, Gery;legitimate
Ser Davos Seaworth, The Onion Knight;Allard Seaworth;legitimate
Ser Davos Seaworth, The Onion Knight;Dale Seaworth;legitimate
Ser Davos Seaworth, The Onion Knight;Maric Seaworth;legitimate
Ser Davos Seaworth, The Onion Knight;Matthos Seaworth;legitimate
Ser Davos Seaworth, The Onion Knight;Devan Seaworth;legitimate
Ser Davos Seaworth, The Onion Knight;Stannis Seaworth;legitimate
Ser Davos Seaworth, The Onion Knight;Steffon Seaworth;legitimate
Lady Marya Seaworth;Allard Seaworth;legitimate
Lady Marya Seaworth;Dale Seaworth;legitimate
Lady Marya Seaworth;Maric Seaworth;legitimate
Lady Marya Seaworth;Matthos Seaworth;legitimate
Lady Marya Seaworth;Devan Seaworth;legitimate
Lady Marya Seaworth;Stannis Seaworth;legitimate
Lady Marya Seaworth;Steffon Seaworth;legitimate
Leobald Tallhart;Beren Tallhart;legitimate
Leobald Tallhart;Brandon Tallhart;legitimate
Berena Hornwood/Tallhart;Beren Tallhart;legitimate
Berena Hornwood/Tallhart;Brandon Tallhart;legitimate
Lady Sybelle Locke/Glover;Gawen Glover;legitimate
Lady Sybelle Locke/Glover;Erena Glover;legitimate
Robett Glover;Gawen Glover;legitimate
Robett Glover;Erena Glover;legitimate
Lord Alester Florent;Alekyne Florent;legitimate
Lord Alester Florent;Lady Melessa Florent/Tarly;legitimate
Lord Alester Florent;Lady Rhea Florent/Hightower;legitimate
Lady Melara Crane/Florent;Alekyne Florent;legitimate
Lady Melara Crane/Florent;Lady Melessa Florent/Tarly;legitimate
Lady Melara Crane/Florent;Lady Rhea Florent/Hightower;legitimate
Lady Melessa Florent/Tarly;Samwell Tarly;legitimate
Lady Melessa Florent/Tarly;Talla Tarly;legitimate
Lady Melessa Florent/Tarly;Dickon Tarly;legitimate
Lord Randyll Tarly;Samwell Tarly;legitimate
Lord Randyll Tarly;Talla Tarly;legitimate
Lord Randyll Tarly;Dickon Tarly;legitimate
Ser Ryam Florent;Lady Selyse Florent/Baratheon;legitimate
Ser Ryam Florent;Ser Imry Florent;legitimate
Ser Ryam Florent;Ser Erren Florent;legitimate
Ser Colin Florent;Delena Florent/Norcross;legitimate
Ser Colin Florent;Maester Omer (Florent);legitimate
Ser Colin Florent;Merrell Florent;legitimate
Delena Florent/Norcross;Alester Norcross;legitimate
Delena Florent/Norcross;Renly Norcross;legitimate
Ser Hosman Norcross;Alester Norcross;legitimate
Ser Hosman Norcross;Renly Norcross;legitimate
Lord Walder Frey, The Late Lord Frey;Ser Stevron Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Lord Emmon Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Ser Aenys Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Perriane Frey/Haigh, Ser Harys's mother;legitimate
Lady Perra Royce/Frey;Ser Stevron Frey;legitimate
Lady Perra Royce/Frey;Lord Emmon Frey;legitimate
Lady Perra Royce/Frey;Ser Aenys Frey;legitimate
Lady Perra Royce/Frey;Perriane Frey/Haigh, Ser Harys's mother;legitimate
Ser Stevron Frey;Ser Ryman Frey;legitimate
Corenna Swann/Frey;Ser Ryman Frey;legitimate
Ser Stevron Frey;Aegon Frey, Jinglebell;legitimate
Ser Stevron Frey;Maegelle Frey/Vance;legitimate
Jeyne Lydden/Frey;Aegon Frey, Jinglebell;legitimate
Jeyne Lydden/Frey;Maegelle Frey/Vance;legitimate
Ser Stevron Frey;Walton Frey, Son of Stevron;legitimate
Marsella Waynwood/Frey;Walton Frey, Son of Stevron;legitimate
Ser Ryman Frey;Edwyn Frey;legitimate
Ser Ryman Frey;Petyr Frey, Petyr Pimple;legitimate
Ser Ryman Frey;Walder Frey, Black Walder;legitimate
Edwyn Frey;Walda Frey, Daughter of Edwyn;legitimate
Janyce Hunter/Frey;Walda Frey, Daughter of Edwyn;legitimate
Petyr Frey, Petyr Pimple;Perra Frey, Daughter of Petyr;legitimate
Mylenda Caron/Frey;Perra Frey, Daughter of Petyr;legitimate
Maegelle Frey/Vance;Marianne Vance;legitimate
Maegelle Frey/Vance;Walder Vance;legitimate
Maegelle Frey/Vance;Patrek Vance;legitimate
Ser Dafyn Vance;Marianne Vance;legitimate
Ser Dafyn Vance;Walder Vance;legitimate
Ser Dafyn Vance;Patrek Vance;legitimate
Walton Frey, Son of Stevron;Steffon Frey, Son of Walton, The Sweet;legitimate
Walton Frey, Son of Stevron;Walda Frey, Fair Walda;legitimate
Walton Frey, Son of Stevron;Bryan Frey;legitimate
Deana Hardyng/Frey;Steffon Frey, Son of Walton, The Sweet;legitimate
Deana Hardyng/Frey;Walda Frey, Fair Walda;legitimate
Deana Hardyng/Frey;Bryan Frey;legitimate
Ser Aenys Frey;Aegon Frey, Son of Aenys, Bloodborn;legitimate
Ser Aenys Frey;Rhaegar Frey, Son of Aenys;legitimate
Tyana Wylde/Frey;Aegon Frey, Son of Aenys, Bloodborn;legitimate
Tyana Wylde/Frey;Rhaegar Frey, Son of Aenys;legitimate
Rhaegar Frey, Son of Aenys;Robert Frey, Son of Rhaegar Frey;legitimate
Rhaegar Frey, Son of Aenys;Walda Frey, White Walda;legitimate
Rhaegar Frey, Son of Aenys;Jonos Frey;legitimate
Jeyne Beesbury/Frey, Wife of Rhaegar;Robert Frey, Son of Rhaegar Frey;legitimate
Jeyne Beesbury/Frey, Wife of Rhaegar;Walda Frey, White Walda;legitimate
Jeyne Beesbury/Frey, Wife of Rhaegar;Jonos Frey;legitimate
Perriane Frey/Haigh, Ser Harys's mother;Ser Harys Haigh;legitimate
Perriane Frey/Haigh, Ser Harys's mother;Ser Donnel Haigh;legitimate
Perriane Frey/Haigh, Ser Harys's mother;Alyn Haigh;legitimate
Ser Leslyn Haigh;Ser Harys Haigh;legitimate
Ser Leslyn Haigh;Ser Donnel Haigh;legitimate
Ser Leslyn Haigh;Alyn Haigh;legitimate
Ser Harys Haigh;Walder Haigh;legitimate
Lord Walder Frey, The Late Lord Frey;Ser Jared Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Septon Luceon (Frey);legitimate
Lady Cyrenna Swann/Frey;Ser Jared Frey;legitimate
Lady Cyrenna Swann/Frey;Septon Luceon (Frey);legitimate
Ser Jared Frey;Ser Tytos Frey;legitimate
Ser Jared Frey;Kyra Frey/Goodbrook;legitimate
Alys Frey;Ser Tytos Frey;legitimate
Alys Frey;Kyra Frey/Goodbrook;legitimate
Ser Tytos Frey;Zia Frey;legitimate
Ser Tytos Frey;Zachery Frey;legitimate
Zhoe Blanetree/Frey;Zia Frey;legitimate
Zhoe Blanetree/Frey;Zachery Frey;legitimate
Kyra Frey/Goodbrook;Walder Goodbrook;legitimate
Kyra Frey/Goodbrook;Jeyne Goodbrook;legitimate
Ser Garse Goodbrook;Walder Goodbrook;legitimate
Ser Garse Goodbrook;Jeyne Goodbrook;legitimate
Lord Walder Frey, The Late Lord Frey;Ser Hosteen Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Lady Lythene Frey/Vypren;legitimate
Lord Walder Frey, The Late Lord Frey;Symond Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Ser Danwell Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Merrett Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Ser Geremy Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Ser Raymund Frey;legitimate
Lady Amarei Crakehall/Frey;Ser Hosteen Frey;legitimate
Lady Amarei Crakehall/Frey;Lady Lythene Frey/Vypren;legitimate
Lady Amarei Crakehall/Frey;Symond Frey;legitimate
Lady Amarei Crakehall/Frey;Ser Danwell Frey;legitimate
Lady Amarei Crakehall/Frey;Merrett Frey;legitimate
Lady Amarei Crakehall/Frey;Ser Geremy Frey;legitimate
Lady Amarei Crakehall/Frey;Ser Raymund Frey;legitimate
Ser Hosteen Frey;Ser Arwood Frey;legitimate
Bellena Hawick/Frey;Ser Arwood Frey;legitimate
Ser Arwood Frey;Ryella Frey, Daughter of Arwood;legitimate
Ser Arwood Frey;Androw Frey;legitimate
Ser Arwood Frey;Alyn Frey;legitimate
Ser Arwood Frey;Hostella Frey;legitimate
Ryella Royce/Frey;Ryella Frey, Daughter of Arwood;legitimate
Ryella Royce/Frey;Androw Frey;legitimate
Ryella Royce/Frey;Alyn Frey;legitimate
Ryella Royce/Frey;Hostella Frey;legitimate
Lady Lythene Frey/Vypren;Elyana Vypren/Wylde;legitimate
Lady Lythene Frey/Vypren;Ser Damon Vypren;legitimate
Lord Lucias Vypren;Elyana Vypren/Wylde;legitimate
Lord Lucias Vypren;Ser Damon Vypren;legitimate
Elyana Vypren/Wylde;Rickard Wylde;legitimate
Ser Jon Wylde;Rickard Wylde;legitimate
Symond Frey;Alesander Frey;legitimate
Symond Frey;Alyx Frey;legitimate
Symond Frey;Bradamar Frey;legitimate
Betharios Frey, Of Braavos;Alesander Frey;legitimate
Betharios Frey, Of Braavos;Alyx Frey;legitimate
Betharios Frey, Of Braavos;Bradamar Frey;legitimate
Merrett Frey;Lady Amerei Frey/Lannister, Gatehouse Ami;legitimate
Merrett Frey;Lady Walda Frey/Bolton, Fat Walda;legitimate
Merrett Frey;Marissa Frey;legitimate
Merrett Frey;Walder Frey, Little Walder;legitimate
Lady Mariya Darry/Frey;Lady Amerei Frey/Lannister, Gatehouse Ami;legitimate
Lady Mariya Darry/Frey;Lady Walda Frey/Bolton, Fat Walda;legitimate
Lady Mariya Darry/Frey;Marissa Frey;legitimate
Lady Mariya Darry/Frey;Walder Frey, Little Walder;legitimate
Ser Geremy Frey;Sandor Frey;legitimate
Ser Geremy Frey;Cynthea Frey;legitimate
Carolei Waynwood/Frey;Sandor Frey;legitimate
Carolei Waynwood/Frey;Cynthea Frey;legitimate
Ser Raymund Frey;Acolyte Robert Frey, Son of Raymund;legitimate
Ser Raymund Frey;Malwyn Frey;legitimate
Ser Raymund Frey;Serra Frey;legitimate
Ser Raymund Frey;Sarra Frey;legitimate
Ser Raymund Frey;Cersei Frey, Little Bee;legitimate
Ser Raymund Frey;Jaime Frey;legitimate
Ser Raymund Frey;Tywin Frey, son of Raymund;legitimate
Beony Beesbury/Frey;Acolyte Robert Frey, Son of Raymund;legitimate
Beony Beesbury/Frey;Malwyn Frey;legitimate
Beony Beesbury/Frey;Serra Frey;legitimate
Beony Beesbury/Frey;Sarra Frey;legitimate
Beony Beesbury/Frey;Cersei Frey, Little Bee;legitimate
Beony Beesbury/Frey;Jaime Frey;legitimate
Beony Beesbury/Frey;Tywin Frey, son of Raymund;legitimate
Lord Walder Frey, The Late Lord Frey;Lothar Frey, Lame Lothar;legitimate
Lord Walder Frey, The Late Lord Frey;Ser Jammos Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Ser Whalen Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Morya Frey/Brax;legitimate
Lord Walder Frey, The Late Lord Frey;Tyta Frey, The Maid;legitimate
Lady Alyssa Blackwood/Frey;Lothar Frey, Lame Lothar;legitimate
Lady Alyssa Blackwood/Frey;Ser Jammos Frey;legitimate
Lady Alyssa Blackwood/Frey;Ser Whalen Frey;legitimate
Lady Alyssa Blackwood/Frey;Morya Frey/Brax;legitimate
Lady Alyssa Blackwood/Frey;Tyta Frey, The Maid;legitimate
Lothar Frey, Lame Lothar;Tysane Frey;legitimate
Lothar Frey, Lame Lothar;Walda Frey, Daughter of Lothar;legitimate
Lothar Frey, Lame Lothar;Emberlei Frey;legitimate
Lothar Frey, Lame Lothar;Leana Frey;legitimate
Leonella Lefford/Frey;Tysane Frey;legitimate
Leonella Lefford/Frey;Walda Frey, Daughter of Lothar;legitimate
Leonella Lefford/Frey;Emberlei Frey;legitimate
Leonella Lefford/Frey;Leana Frey;legitimate
Ser Jammos Frey;Walder Frey, Big Walder;legitimate
Ser Jammos Frey;Dickon Frey;legitimate
Ser Jammos Frey;Mathis Frey;legitimate
Sallei Paege/Frey;Walder Frey, Big Walder;legitimate
Sallei Paege/Frey;Dickon Frey;legitimate
Sallei Paege/Frey;Mathis Frey;legitimate
Ser Whalen Frey;Hoster Frey;legitimate
Ser Whalen Frey;Merianne Frey, Merry;legitimate
Sylwa Paege/Frey;Hoster Frey;legitimate
Sylwa Paege/Frey;Merianne Frey, Merry;legitimate
Morya Frey/Brax;Robert Brax, Son of Flement;legitimate
Morya Frey/Brax;Walder Brax;legitimate
Morya Frey/Brax;Jon Brax;legitimate
Ser Flement Brax;Robert Brax, Son of Flement;legitimate
Ser Flement Brax;Walder Brax;legitimate
Ser Flement Brax;Jon Brax;legitimate
Lord Walder Frey, The Late Lord Frey;Ser Perwyn Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Ser Benfrey Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Maester Willamen (Frey);legitimate
Lord Walder Frey, The Late Lord Frey;Olyvar Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Roslin Frey/Tully;legitimate
Lady Bethany Rosby/Frey;Ser Perwyn Frey;legitimate
Lady Bethany Rosby/Frey;Ser Benfrey Frey;legitimate
Lady Bethany Rosby/Frey;Maester Willamen (Frey);legitimate
Lady Bethany Rosby/Frey;Olyvar Frey;legitimate
Lady Bethany Rosby/Frey;Roslin Frey/Tully;legitimate
Ser Benfrey Frey;Della Frey, Deaf Della;legitimate
Ser Benfrey Frey;Osmund Frey;legitimate
Jyanna Frey;Della Frey, Deaf Della;legitimate
Jyanna Frey;Osmund Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Arwyn Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Wendel Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Colmar Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Shirei Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Elmar Frey;legitimate
Lord Walder Frey, The Late Lord Frey;Waltyr Frey, Tyr;legitimate
Lady Annara Farring/Frey;Arwyn Frey;legitimate
Lady Annara Farring/Frey;Wendel Frey;legitimate
Lady Annara Farring/Frey;Colmar Frey;legitimate
Lady Annara Farring/Frey;Shirei Frey;legitimate
Lady Annara Farring/Frey;Elmar Frey;legitimate
Lady Annara Farring/Frey;Waltyr Frey, Tyr;legitimate
Lord Walder Frey, The Late Lord Frey;Walder Rivers, Bastard Walder;bastard
Lord Walder Frey, The Late Lord Frey;Maester Melwys (Rivers);bastard
Lord Walder Frey, The Late Lord Frey;Jeyne Rivers;bastard
Lord Walder Frey, The Late Lord Frey;Ronel Rivers;bastard
Lord Walder Frey, The Late Lord Frey;Mellara Rivers;bastard
Lord Walder Frey, The Late Lord Frey;Martyn Rivers;bastard
Lord Walder Frey, The Late Lord Frey;Ryger Rivers;bastard
Walder Rivers, Bastard Walder;Walda Rivers, sister of Aemon Rivers;bastard
Walder Rivers, Bastard Walder;Ser Aemon Rivers;bastard
Ser Aemon Rivers;Walda Rivers, daughter of Aemon Rivers;bastard
Lady Tanda Stokeworth;Falyse Stokeworth;legitimate
Lady Tanda Stokeworth;Lady Lollys Stokeworth;legitimate
Lady Lollys Stokeworth;Tyrion Tanner;bastard
Lord Gawen Westerling;Rollam Westerling;legitimate
Lord Gawen Westerling;Ser Raynald Westerling;legitimate
Lord Gawen Westerling;Queen Jeyne Westerling/Stark;legitimate
Lord Gawen Westerling;Eleyna Westerling;legitimate
Lady Sybell Spicer/Westerling;Rollam Westerling;legitimate
Lady Sybell Spicer/Westerling;Ser Raynald Westerling;legitimate
Lady Sybell Spicer/Westerling;Queen Jeyne Westerling/Stark;legitimate
Lady Sybell Spicer/Westerling;Eleyna Westerling;legitimate
Lord Halys Hornwood;Daryn Hornwood;legitimate
Lady Donella Manderly/Hornwood;Daryn Hornwood;legitimate
Lord Wyman Manderly;Ser Wylis Manderly;legitimate
Lord Wyman Manderly;Ser Wendel Manderly;legitimate
Ser Wylis Manderly;Wynafryd Manderly;legitimate
Ser Wylis Manderly;Wylla Manderly;legitimate
Leona Woolfield/Manderly;Wynafryd Manderly;legitimate
Leona Woolfield/Manderly;Wylla Manderly;legitimate
Lord Rodrik Ryswell;Lady Bethany Ryswell/Bolton;legitimate
Lord Rodrik Ryswell;Lady Barbrey Ryswell/Dustin;legitimate
Lord Rodrik Ryswell;Roger Ryswell;legitimate
Lord Rodrik Ryswell;Rickard Ryswell;legitimate
Lord Rodrik Ryswell;Roose Ryswell;legitimate
Lady Bethany Ryswell/Bolton;Domeric Bolton;legitimate
Lord Roose Bolton;Domeric Bolton;legitimate
Lord Roose Bolton;Lord Ramsay Bolton;legitimate
Lady Anya Waynwood;Ser Morton Waynwood;legitimate
Lady Anya Waynwood;Ser Donnel Waynwood;legitimate
Lady Anya Waynwood;Ser Wallace Waynwood;legitimate
Ser Morton Waynwood;Ser Roland Waynwood, a grandson of Lady Anya Waynwood;legitimate
Lord Jason Mallister;Patrek Mallister;legitimate
Lord Selwyn Tarth, The Evenstar;Brienne Tarth;legitimate
Lord Leyton Hightower;Ser Baelor Hightower, Breakwind, Brightsmile;legitimate
Lord Leyton Hightower;Malora Hightower, The Mad Maid;legitimate
Lord Leyton Hightower;Ser Garth Hightower, Greysteel;legitimate
Lord Leyton Hightower;Lady Alerie Hightower/Tyrell;legitimate
Lord Leyton Hightower;Leyla Hightower/Cupps;legitimate
Lord Leyton Hightower;Denyse Hightower/Redwyne;legitimate
Lord Leyton Hightower;Lady Alysanne Hightower/Ambrose;legitimate
Lord Leyton Hightower;Ser Gunthor Hightower;legitimate
Lord Leyton Hightower;Ser Humfrey Hightower;legitimate
Lord Leyton Hightower;Lynesse Hightower/Mormont;legitimate
Denyse Hightower/Redwyne;Denys Redwyne;legitimate
Ser Desmond Redwyne;Denys Redwyne;legitimate
Lady Alysanne Hightower/Ambrose;Alyn Ambrose;legitimate
Lord Arthur Ambrose;Alyn Ambrose;legitimate
